symbol,signal_time,entry_time,exit_time,entry_price,stop_type,stop_price,sweep_low,ref_low,sweep_risk_pct,ref_risk_pct,tightening_pct_of_price,exit_price,exit_reason,initial_quantity,initial_notional,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 04:00:00,10168.831875,ref_low,10121.84,10100.0,10121.84,0.006768906777702022,0.004621167463249038,0.0021477393144529833,10116.77908,STOP,5.217565996173946,53056.55141180974,245.18320909645502,46.99187499999971,100000.0,21.222620564723897,42.33660557216867,5.396570250370682,-271.5888931978111,-319.32206902035045,-0.0031932206902035047,-1.3023814730099614,2,8
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 04:00:00,213.636765,ref_low,212.52,212.25,212.52,0.006491228230309502,0.0052274008174575505,0.001263827412851951,212.41374000000002,STOP,219.54771961554843,46903.46458179281,245.18320909645502,1.1167649999999867,100000.0,18.761385832717124,37.415366725521125,4.777138831114718,-268.5123497828014,-310.70485533943724,-0.0031070485533943723,-1.2672354541913433,2,8
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,2019-08-14 00:00:00,10941.74814,ref_low,10911.0,10788.45,10911.0,0.01401038828883142,0.002810167041552804,0.011200221247278616,10905.5445,STOP,9.078096087418123,99330.24097924853,279.1345694293819,30.748139999999694,99369.97307564021,39.732096391699415,79.3327287343451,9.88909687948371,-328.6601226342917,-417.8819482481205,-0.004205314093524305,-1.4970626859380822,1,4
BTC,2019-08-14 08:00:00,2019-08-14 12:00:00,2019-08-14 16:00:00,10559.99736,ref_low,10541.0,10410.0,10541.0,0.014204299005620149,0.001798992873990585,0.012405306131629565,10535.729500000001,STOP,9.366718830026803,98912.52611694533,177.94292963279227,18.99735999999939,98952.0911273921,39.56501044677813,79.0390968050657,9.848215011484331,-227.31022122643654,-316.19753304298655,-0.0031954608481786413,-1.7769603641768748,1,4
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,2019-08-18 08:00:00,9942.538784999999,ref_low,9911.0,9750.0,9911.0,0.019365153022131144,0.003172105805368385,0.01619304721676276,10388.803,TIME_T12,9.916627648573378,98596.45501234414,312.7583873333997,31.538784999998825,98635.89359434911,39.43858200493766,80.64733843109047,61.22986041752098,4425.436053037905,4283.558854189294,0.04342799257039124,13.696063887242872,12,48
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,2019-08-22 00:00:00,10112.19357,ref_low,9921.16,9858.0,9921.16,0.025137332294955215,0.01889140755441449,0.006245924740540727,9916.19942,STOP,5.387506104217107,54479.504585399976,1029.194524485384,191.0335699999996,102919.45244853839,21.79180183415999,43.16123579651365,5.463372965176693,-1055.919679515836,-1104.5442882775262,-0.0107321236364896,-1.0732123636489599,1,4
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,2019-10-30 16:00:00,9100.778115,ref_low,9072.0,9018.0,9072.0,0.009095718404953022,0.003162159832527591,0.005933558572425431,9067.464,STOP,11.183021626812677,101774.1984808685,321.8262824238929,28.77811499999916,101814.90816026085,40.7096793923474,81.27033779728555,10.169526742817897,-372.55246852311586,-463.9923330632193,-0.004557214080406342,-1.441747795017166,1,4
BTC,2019-10-31 08:00:00,2019-10-31 12:00:00,2019-11-02 12:00:00,9114.084765,ref_low,9001.01,8913.0,9001.01,0.022063078211891046,0.012406595715922047,0.009656482495968998,9319.697820000001,TIME_T12,8.963177224131147,81691.15698444868,1013.5091582719764,113.07476499999939,101350.91582719763,32.67646279377947,66.09010408818295,49.28140375595844,1842.9462515600394,1727.574743715898,0.017045477385339042,1.704547738533904,12,48
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,2019-11-08 04:00:00,9218.607,ref_low,9119.0,9101.0,9119.0,0.01275756738518086,0.010804994724257144,0.0019525726609237167,9114.4405,STOP,10.348518735722745,95398.92725676484,1030.7849057091353,99.60699999999997,103078.49057091353,38.15957090270594,75.88795421465801,0.0,-1077.9689768846567,-1153.8569310993148,-0.011193964179224289,-1.119396417922429,1,4
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,2019-11-12 12:00:00,8730.533085,ref_low,8696.0,8618.68,8696.0,0.012811713089109592,0.0039554383064340825,0.008856274782675509,8691.652,STOP,11.669834945454436,101883.88008777912,402.9954021073381,34.53308499999912,101924.63363981423,40.75355203511165,81.32560973244324,30.609090154471133,-453.7358444501735,-565.6705443370878,-0.005549890386028556,-1.403665008035057,6,24
