symbol,signal_time,entry_time,exit_time,entry_price,exit_price,exit_reason,initial_quantity,initial_notional,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,trade_return_on_notional,expectancy_r,holding_bars,holding_hours
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-26 16:00:00,10168.831875,9834.0805,TIME_T24,0.9833971220022752,10000.0,100000.0,4.0,7.868322584495479,11.706445879261821,-329.19353876130424,-348.76830722506156,-0.0034876830722506157,-0.03487683072250616,-0.03487683072250616,24,96
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-26 16:00:00,213.636765,219.400245,TIME_T24,46.808422698218635,10000.0,100000.0,4.0,8.107911763221093,12.096887911591438,269.7794080527299,249.57460837791737,0.0024957460837791738,0.024957460837791736,0.024957460837791736,24,96
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,2019-08-17 20:00:00,10941.74814,10210.91199,TIME_T24,0.9130241806237813,9990.080630115282,99900.80630115281,3.9960322520461133,7.725156073282632,11.310969018835573,-667.2710770239881,-686.3072021161063,-0.006869886515702592,-0.06869886515702592,-0.06869886515702592,24,96
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,2019-08-25 16:00:00,10112.19357,10056.199385,TIME_T24,0.9811372617844056,9921.449909903673,99214.49909903672,3.9685799639614694,7.915184735384239,11.9611159814338,-54.937981346749005,-74.81428206356705,-0.0007540660159850912,-0.007540660159850912,-0.007540660159850912,24,96
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,2019-11-03 08:00:00,9100.778115,9151.94174,TIME_T24,1.089353938357975,9913.968481697317,99139.68481697315,3.965587392678927,7.953468903915622,12.00231541330471,55.73529639442168,35.779512077201346,0.00036089999825252353,0.003608999982525235,0.003608999982525235,24,96
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,2019-11-11 20:00:00,9218.607,8728.903365,TIME_T24,1.0758183349073278,9917.546432905037,99175.46432905036,3.967018573162015,7.723304286642524,10.478035951390071,-526.8321492037657,-545.0334894417982,-0.005495648476456365,-0.05495648476456365,-0.05495648476456365,24,96
BTC,2019-11-12 12:00:00,2019-11-12 16:00:00,2019-11-16 12:00:00,8707.961805,8485.1553,TIME_T24,1.1326465715889593,9863.043083960856,98630.43083960855,3.9452172335843425,7.789490057562298,10.766144324277965,-252.36102401596887,-270.9166583978091,-0.002746785714019338,-0.027467857140193376,-0.027467857140193376,24,96
BTC,2020-01-19 08:00:00,2020-01-19 12:00:00,2020-01-23 08:00:00,8685.50058,8418.7885,TIME_T24,1.1324564804900485,9835.951418121074,98359.51418121073,3.93438056724843,7.7479452051284685,24.27671854316214,-302.03982342097953,-334.06448716927014,-0.0033963617037983023,-0.033963617037983014,-0.033963617037983014,24,96
BTC,2020-01-23 16:00:00,2020-01-23 20:00:00,2020-01-27 16:00:00,8374.084949999999,8927.653940000002,TIME_T24,1.170581028008815,9802.544969404144,98025.44969404142,3.9210179877616578,8.101234918478518,20.217178236524216,647.9973573880054,619.6789442330028,0.006321612868567851,0.0632161286856785,0.0632161286856785,24,96
BTC,2020-02-02 04:00:00,2020-02-02 08:00:00,2020-02-06 04:00:00,9375.215265,9623.9856,TIME_T24,1.0521905454964977,9864.512863827444,98645.12863827443,3.9458051455309775,7.996311808856753,59.487050205369,261.7537944869957,194.27043247276993,0.001969386984988864,0.019693869849888638,0.019693869849888638,24,96
ETH,2020-02-16 12:00:00,2020-02-16 16:00:00,2020-02-20 16:00:00,258.96941999999996,255.872,TIME_T24,38.16643643513865,9883.939907074722,98839.39907074721,3.953575962829889,7.859864932242608,59.61728484709407,-118.21748354292497,-185.69463332226164,-0.00187875113636967,-0.018787511363696698,-0.018787511363696698,24,96
