symbol,signal_time,entry_time,exit_time,entry_price,sweep_low,exit_price,exit_reason,initial_quantity,initial_notional,risk_budget,nominal_risk,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,expectancy_r,holding_bars,holding_hours,holding_window
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 04:00:00,10168.831875,10100.0,10094.95,STOP,4.81209489569415,48933.38396085947,331.22551434855706,68.83187499999985,100000.0,19.57335358434379,39.00449653125885,4.977188247375625,-355.52659357180903,-399.5082783504435,-0.0039950827835044354,-1.2061518845738157,3,12,12
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,2019-07-23 04:00:00,213.636765,212.25,212.143875,STOP,238.84761610551016,51026.63203274309,331.22551434855706,1.386764999999997,100000.0,20.410652813097236,40.67867633915137,5.197085278839796,-356.5732176077523,-402.44897922574347,-0.004024489792257435,-1.215030128392332,3,12,12
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,2019-08-14 00:00:00,10941.74814,10788.45,10783.055775,STOP,6.47092278761011,70803.20737541653,991.9804274242383,153.29813999999897,99198.04274242382,28.321282950166616,56.23181148397394,7.049009145764048,-1026.8860408982343,-1090.1668615279723,-0.010989802131063046,-1.0989802131063044,2,8,12
BTC,2019-08-14 08:00:00,2019-08-14 12:00:00,2019-08-14 16:00:00,10559.99736,10410.0,10404.795,STOP,6.540640173993478,69069.14297008107,981.0787588089584,149.9973599999994,98107.87588089584,27.62765718803243,54.849265259699024,6.876861782137613,-1015.1227909145939,-1076.8489179564306,-0.010976171976893458,-1.0976171976893458,2,8,12
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,2019-08-18 04:00:00,9942.538784999999,9750.0,10134.340295,TIME,5.039557456589331,50105.99547137537,970.3102696293942,192.53878499999882,97031.02696293942,20.04239818855015,40.47143426906254,26.00674208543583,966.5947299055989,900.1165535511005,0.009276584838114681,0.9276584838114681,12,48,12
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,2019-08-22 00:00:00,10112.19357,9858.0,9853.071,STOP,3.8526208006162683,38958.447287640076,979.3114351649053,254.19356999999945,97931.14351649053,15.58337891505603,30.767437428875606,3.9068734067305466,-998.3010030911432,-1032.9753139267493,-0.010547975616692433,-1.0547975616692433,2,8,12
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,2019-10-30 12:00:00,9100.778115,9018.0,9013.491,STOP,10.642982743766266,96859.42443279068,881.0060495064906,82.77811499999916,96898.16820256379,38.74376977311627,77.1159414427533,0.0,-928.9952586981328,-1006.1112001408861,-0.010383180805210163,-1.142002601122291,1,4,12
BTC,2019-10-30 12:00:00,2019-10-30 16:00:00,2019-10-31 08:00:00,9098.26686,9001.01,8996.509495,STOP,9.85967025898465,89705.91116784766,958.9205700242289,97.2568599999995,95892.0570024229,35.88236446713907,71.36341130814887,17.993937661328026,-1003.2940653231404,-1092.6514142926173,-0.011394597722155543,-1.1394597722155542,5,20,12
BTC,2019-10-31 08:00:00,2019-10-31 12:00:00,2019-11-02 08:00:00,9114.084765,8913.0,9236.51943,TIME,4.714400197753942,42967.44301846218,947.994055881303,201.0847649999996,94799.40558813029,17.186977207384874,34.60483681832493,25.920748168092107,577.2060088879408,516.6804239015238,0.005450249615976671,0.545024961597667,12,48,12
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,2019-11-08 08:00:00,9218.607,9101.0,9096.4495,STOP,8.104626936494583,74713.37060915751,953.1608601203181,117.60699999999997,95316.08601203181,29.885348243663007,59.37468010132808,7.411211265061979,-990.0409649948317,-1056.8268563612219,-0.01108760231958977,-1.1087602319589769,3,12,12
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,2019-11-12 12:00:00,8730.533085,8618.68,8614.37066,STOP,8.42705940168495,73572.72091567075,942.592591556706,111.85308499999883,94259.25915567059,29.429088366268303,58.4666136702491,22.103536354105096,-978.9076557187612,-1059.4778057431154,-0.011240039601768689,-1.1240039601768688,7,28,12
BTC,2019-11-12 12:00:00,2019-11-12 16:00:00,2019-11-14 12:00:00,8707.961805,8567.6,8639.248215,TIME,6.639967429168298,57820.582759641584,931.9978134992749,140.36180500000046,93199.78134992749,23.128233103856633,46.073963807896774,29.0577325039823,-456.2559995412324,-531.3876958531115,-0.0057015980955788465,-0.5701598095578847,12,48,12
BTC,2020-01-19 08:00:00,2020-01-19 12:00:00,2020-01-19 20:00:00,8685.50058,8524.2,8519.9379,STOP,5.745075042760223,49898.85261603744,926.683936540744,161.30057999999917,92668.39365407439,19.959541046414977,39.53861408447776,45.85034245094889,-951.1700208804918,-1036.5589774159184,-0.011185679782961724,-1.1185679782961724,3,12,12
BTC,2020-01-19 20:00:00,2020-01-20 00:00:00,2020-01-21 20:00:00,8706.070859999998,8466.0,8731.661985,TIME,3.816866181787296,33229.90744177783,916.3183467665848,240.070859999998,91631.83467665847,13.291962976711133,26.62299711324883,21.13199212716718,97.67789956640152,49.92291032598551,0.0005448205910331124,0.054482059103311234,12,48,12
BTC,2020-01-23 16:00:00,2020-01-23 20:00:00,2020-01-24 00:00:00,8374.084949999999,8306.39,8302.236805,STOP,10.943894180004182,91645.0995471656,740.8463693206648,67.69494999999915,91681.75758698447,36.65803981886624,73.00156023936866,50.32953895373724,-786.298495909576,-909.629595102682,-0.009921598571445981,-1.227824867302497,2,8,12
BTC,2020-01-24 00:00:00,2020-01-24 04:00:00,2020-01-24 08:00:00,8324.750295,8275.5,8271.36225,STOP,10.899526165117054,90735.83365841841,536.8048789922317,49.250294999999824,90772.12799188179,36.294333463367366,72.35590516938196,38.28482955585056,-581.9043933819434,-692.5451281071759,-0.007629490939874337,-1.290124503725306,2,8,12
BTC,2020-01-24 08:00:00,2020-01-24 12:00:00,2020-01-26 08:00:00,8417.62671,8238.0,8474.910425,TIME,5.014821173520039,42212.89265609583,900.795828637746,179.62671000000046,90079.5828637746,16.88515706243833,33.885221159628614,28.627091343745633,287.2675868798853,224.75527437651107,0.002495074546652859,0.2495074546652859,12,48,12
BTC,2020-02-02 04:00:00,2020-02-02 08:00:00,2020-02-04 04:00:00,9375.215265,9120.0,9273.990684999999,TIME,3.53835959373946,33172.88287628539,903.0433813815113,255.21526500000073,90304.33813815113,13.269153150514155,26.39503871552221,89.74446789604526,-358.16896376525415,-474.3084703768216,-0.0052523331675517725,-0.5252333167551773,12,48,12
BTC,2020-02-04 08:00:00,2020-02-04 12:00:00,2020-02-04 12:00:00,9187.401404999999,9108.0,9103.446,STOP,9.773613676452307,89794.11202296513,776.0386578375159,79.4014049999987,89830.02966777432,35.91764480918605,71.50707054056407,0.0,-820.5476945200805,-892.0547650606446,-0.009930473900095582,-1.1494978453089122,1,4,12
BTC,2020-02-04 12:00:00,2020-02-04 16:00:00,2020-02-06 12:00:00,9211.62351,9093.01,9781.98656,TIME,7.498131949953615,69069.96855127485,889.3797490271368,118.61350999999922,88937.97490271367,27.627987420509942,56.966637804331086,226.02822441459392,4276.657408277991,3993.662546059066,0.044903906912964926,4.490390691296493,12,48,12
ETH,2020-02-16 12:00:00,2020-02-16 16:00:00,2020-02-16 16:00:00,258.96941999999996,256.06,255.93197,STOP,319.41636975333296,82719.07201352617,929.3163744877274,2.9094199999999546,92931.63744877274,33.08762880541047,65.78717310989803,0.0,-970.2112523072452,-1035.9984254171432,-0.011147962672972621,-1.1147962672972622,1,4,12
BTC,2020-02-17 12:00:00,2020-02-17 16:00:00,2020-02-19 16:00:00,9640.087635,9452.67,10134.15039,TIME,4.903254649614787,47267.80451900777,918.956390233556,187.4176349999998,91895.6390233556,18.907121807603108,38.78324981546831,96.22021169896573,2422.5155006552454,2287.5120391408113,0.02489249831060462,2.489249831060462,12,48,12
BTC,2020-02-19 20:00:00,2020-02-20 00:00:00,2020-02-21 20:00:00,9599.447325,9350.0,9672.211475,TIME,3.775672922629927,36244.373337214776,941.8315106249642,249.44732499999918,94183.15106249641,14.497749334885912,29.1053921221291,18.189104194104775,274.7336308931857,227.43913457695183,0.0024148601104462064,0.24148601104462064,12,48,12
BTC,2020-02-24 16:00:00,2020-02-24 20:00:00,2020-02-25 12:00:00,9605.940569999999,9473.56,9468.82322,STOP,7.131755830713966,68507.22266958933,944.1059019707337,132.38056999999935,94410.59019707337,27.402889067835734,54.41462315152965,40.881366734065494,-977.8874603545378,-1073.183450240133,-0.011367193531996377,-1.1367193531996376,5,20,12
ETH,2020-02-25 04:00:00,2020-02-25 08:00:00,2020-02-25 12:00:00,257.75881499999997,254.85,254.722575,STOP,100.1896030998358,25824.753370333998,291.43302034084644,2.9088149999999757,93729.82668542892,10.3299013481336,20.538122824060864,0.0,-304.1996805158418,-324.73780333990265,-0.0034646154252452686,-1.1142793735593328,2,8,12
ETH,2020-02-25 16:00:00,2020-02-25 20:00:00,2020-02-25 20:00:00,250.52519999999998,245.93,245.807035,STOP,202.41266744318813,50709.47399373819,930.1266894349335,4.595199999999977,93012.66894349334,20.283789597495275,40.18557264975572,0.0,-955.0163630870837,-995.2019357368395,-0.010699638522806396,-1.0699638522806396,1,4,12
BTC,2020-02-25 20:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,9321.138239999998,9250.0,9245.375,STOP,5.481115696526044,51090.23711675313,389.9169238872281,71.1382399999984,92017.4670077565,20.436094846701252,40.706082859809044,0.0,-415.2670839836611,-455.97316684347015,-0.004955289269210535,-1.1694110691521225,1,4,12
ETH,2020-02-25 20:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,246.79333499999998,244.44,244.31778,STOP,165.68696079700948,40890.43762110823,389.91692388722817,2.353334999999987,92017.4670077565,16.35617504844329,32.54828322319224,0.0,-410.1671842358384,-442.71546745903066,-0.004811211195606075,-1.1354097253472202,1,4,12
BTC,2020-02-26 08:00:00,2020-02-26 12:00:00,2020-02-26 12:00:00,9162.93918,9102.0,9097.449,STOP,9.940297937815176,91082.34543527987,605.7536052861418,60.939179999999396,91118.77837345398,36.43293817411195,72.60547958774345,0.0,-650.9919012011335,-723.597380788877,-0.007941254192666895,-1.1945407744574115,1,4,12
ETH,2020-02-26 16:00:00,2020-02-26 20:00:00,2020-02-27 00:00:00,229.884885,215.66,215.55217000000002,STOP,63.54721390905101,14608.543961552592,903.9518099266511,14.224885,90395.1809926651,5.843417584621037,11.322513526841089,1.4233304971349245,-910.8041060024627,-923.5499500264388,-0.010216805142537167,-1.0216805142537166,2,8,12
ETH,2020-04-20 20:00:00,2020-04-21 00:00:00,2020-04-22 20:00:00,170.295105,166.7,182.60865,TIME,248.8707034777516,42381.46258016757,894.7163104263866,3.595105000000018,89471.63104263866,16.95258503206703,35.13096230671604,21.69928550692864,3064.480606454952,3007.6503586413073,0.0336156871579549,3.36156871579549,12,48,12
ETH,2020-05-04 00:00:00,2020-05-04 04:00:00,2020-05-04 04:00:00,203.7018,202.03,201.928985,STOP,453.81191761431757,92442.30447948819,758.6827638676117,1.6717999999999904,92479.28140127998,36.97692179179528,73.6320337537004,0.0,-804.5245747254173,-878.1566084791177,-0.0094957118521356,-1.1574753642780184,1,4,12
BTC,2020-05-04 04:00:00,2020-05-04 08:00:00,2020-05-06 04:00:00,8652.744209999999,8522.0,9013.67091,TIME,7.006132416326629,60622.271699863544,916.0112479280087,130.74420999999893,91601.12479280087,24.24890867994542,49.50929746100596,31.245711141831347,2528.700252787809,2447.9452441849717,0.026723964904603017,2.6723964904603017,12,48,12
ETH,2020-05-11 16:00:00,2020-05-11 20:00:00,2020-05-13 16:00:00,187.39365,176.0,196.68161,TIME,82.54516334711509,15468.439449462116,940.4907003698586,11.393650000000008,94049.07003698585,6.187375779784847,12.68142202971428,9.430702367244551,766.676175361471,744.5640509645121,0.0079167614381695,0.79167614381695,12,48,12
BTC,2020-05-21 08:00:00,2020-05-21 12:00:00,2020-05-21 12:00:00,9394.664985,9228.0,9223.386,STOP,5.68767543392217,53433.80524511329,947.9363408795037,166.66498499999943,94793.63408795037,21.373522098045317,42.35737248595799,0.0,-974.1792753316182,-1016.5366478175762,-0.010723680525576481,-1.072368052557648,1,4,12
BTC,2020-05-21 16:00:00,2020-05-21 20:00:00,2020-05-23 16:00:00,9070.342905,8815.0,9176.38951,TIME,3.6725946013707715,33311.69238548468,937.770974401328,255.34290499999952,93777.0974401328,13.324676954193874,26.805140383994427,1.1124393580612209,389.46618901670365,361.548609274648,0.0038554041353802858,0.3855404135380286,12,48,12
ETH,2020-05-21 16:00:00,2020-05-21 20:00:00,2020-05-23 16:00:00,198.709305,191.71,207.03643,TIME,133.98058441535682,26623.188812669385,937.7709744013281,6.999304999999993,93777.0974401328,10.649275525067754,21.7448202797354,14.741209727289869,1115.6730739997274,1079.187043992702,0.011508002203647366,1.1508002203647365,12,48,12
